H_LR_172 , 107 ,  38
H_LR_173 , 100 ,  26
H_LR_174 , 135 ,  57
H_LR_175 , 113 ,  14
H_LR_176 , 193 ,  60
H_LR_177 , 154 ,  18
H_LR_178 , 157 ,  85
H_LR_179 , 129 ,  15
H_LR_180 , 163 ,  2
H_LR_181 , 117 ,  43
H_LR_182 , 119 ,  67
H_LR_183 , 147 ,  69
H_LR_184 , 195 ,  3
H_LR_185 , 173 ,  3
H_LR_186 , 148 ,  85
H_LR_187 , 158 ,  59
H_LR_188 , 106 ,  30
H_LR_189 , 124 ,  32
H_LR_190 , 173 ,  3
H_LR_191 , 197 ,  20
H_LR_192 , 150 ,  31
H_LR_193 , 180 ,  3
H_LR_194 , 100 ,  20
H_LR_195 , 133 ,  58
H_LR_196 , 103 ,  76
H_LR_197 , 150 ,  34
H_LR_198 , 180 ,  79
H_LR_199 , 132 ,  74
H_UL_250 , 11 ,  116
H_UL_251 , 91 ,  171
H_UL_252 , 28 ,  171
H_UL_253 , 61 ,  145
H_UL_254 , 20 ,  140
H_UL_255 , 58 ,  153
H_UL_256 , 27 ,  150
H_UL_257 , 11 ,  163
H_UL_258 , 94 ,  133
H_UL_259 , 27 ,  127
H_UL_260 , 95 ,  131
H_UL_261 , 42 ,  116
H_UL_262 , 6 ,  115
H_UL_263 , 24 ,  101
H_UL_264 , 97 ,  161
H_UL_265 , 3 ,  124
H_UL_266 , 8 ,  136
H_UL_267 , 81 ,  115
H_UL_268 , 10 ,  116
H_UL_269 , 5 ,  173
H_UL_270 , 81 ,  120
H_UL_271 , 91 ,  169
H_UL_272 , 65 ,  127
H_UL_273 , 36 ,  128
H_UL_274 , 25 ,  184
H_UL_275 , 67 ,  149
H_UL_276 , 76 ,  146
H_UL_277 , 76 ,  166
H_UL_278 , 67 ,  120
H_UL_279 , 84 ,  191
H_UL_280 , 10 ,  158
H_UL_281 , 11 ,  144
H_UL_282 , 18 ,  118
H_UL_283 , 34 ,  125
H_UL_284 , 67 ,  189
H_UL_285 , 18 ,  114
H_UL_286 , 25 ,  118
H_UL_287 , 28 ,  129
H_UL_288 , 34 ,  127
H_UL_289 , 40 ,  154
H_UL_290 , 40 ,  196
H_UL_291 , 35 ,  183
H_UL_292 , 48 ,  165
H_UL_293 , 11 ,  152
H_UL_294 , 64 ,  176
H_UL_295 , 37 ,  175
H_UL_296 , 45 ,  110
H_UL_297 , 15 ,  192
H_UL_298 , 10 ,  147
H_UL_299 , 37 ,  199
H_UR_350 , 152 ,  156
H_UR_351 , 170 ,  103
H_UR_352 , 139 ,  114
H_UR_353 , 199 ,  166
H_UR_354 , 135 ,  121
H_UR_355 , 143 ,  152
H_UR_356 , 186 ,  119
H_UR_357 , 150 ,  110
H_UR_358 , 123 ,  169
H_UR_359 , 105 ,  143
H_UR_360 , 111 ,  131
H_UR_361 , 192 ,  116
H_UR_362 , 199 ,  171
H_UR_363 , 139 ,  170
H_UR_364 , 136 ,  191
H_UR_365 , 157 ,  133
H_UR_366 , 128 ,  177
H_UR_367 , 110 ,  183
H_UR_368 , 176 ,  189
H_UR_369 , 191 ,  134
H_UR_370 , 111 ,  104
H_UR_371 , 126 ,  191
H_UR_372 , 190 ,  122
H_UR_373 , 164 ,  190
H_UR_374 , 184 ,  113
H_UR_375 , 141 ,  127
H_UR_376 , 179 ,  184
H_UR_377 , 137 ,  170
H_UR_378 , 161 ,  181
H_UR_379 , 165 ,  102
H_UR_380 , 132 ,  132
H_UR_381 , 154 ,  159
H_UR_382 , 147 ,  177
H_UR_383 , 162 ,  110
H_UR_384 , 119 ,  150
H_UR_385 , 177 ,  141
H_UR_386 , 136 ,  120
H_UR_387 , 199 ,  112
H_UR_388 , 159 ,  156
H_UR_389 , 190 ,  152
H_UR_390 , 148 ,  114
H_UR_391 , 144 ,  118
H_UR_392 , 150 ,  101
H_UR_393 , 195 ,  121
H_UR_394 , 131 ,  101
H_UR_395 , 145 ,  161
H_UR_396 , 157 ,  110
H_UR_397 , 128 ,  105
H_UR_398 , 173 ,  137
H_UR_399 , 169 ,  196
